election_year	check	lfd_nr	field	observed	expected	difference
1970	ballot_identity	52	number_voters	100322	100322	0
1970	party_identity	52	valid_votes	99881	99881	0
1970	ballot_identity	53	number_voters	70953	70953	0
1970	party_identity	53	valid_votes	70560	70560	0
1970	ballot_identity	54	number_voters	61267	61267	0
1970	party_identity	54	valid_votes	60757	60757	0
1970	ballot_identity	55	number_voters	86974	86974	0
1970	party_identity	55	valid_votes	86313	86313	0
1970	ballot_identity	56	number_voters	49383	49383	0
1970	party_identity	56	valid_votes	48930	48930	0
1970	ballot_identity	57	number_voters	50233	50233	0
1970	party_identity	57	valid_votes	49823	49823	0
1970	ballot_identity	58	number_voters	76262	76262	0
1970	party_identity	58	valid_votes	75692	75692	0
1970	ballot_identity	59	number_voters	62278	62278	0
1970	party_identity	59	valid_votes	61844	61844	0
1970	ballot_identity	60	number_voters	187644	187644	0
1970	party_identity	60	valid_votes	186078	186078	0
1970	ballot_identity	61	number_voters	96418	96418	0
1970	party_identity	61	valid_votes	95693	95693	0
1970	ballot_identity	62	number_voters	69596	69596	0
1970	party_identity	62	valid_votes	68949	68949	0
1970	ballot_identity	63	number_voters	37285	37285	0
1970	party_identity	63	valid_votes	37023	37023	0
1970	ballot_identity	64	number_voters	1256754	1256754	0
1970	party_identity	64	valid_votes	1248018	1248018	0
1970	ballot_identity	65	number_voters	479414	479414	0
1970	party_identity	65	valid_votes	476916	476916	0
1970	ballot_identity	66	number_voters	777340	777340	0
1970	party_identity	66	valid_votes	771102	771102	0
1970	ballot_identity	67	number_voters	94109	94109	0
1970	party_identity	67	valid_votes	93347	93347	0
1970	ballot_identity	68	number_voters	87188	87188	0
1970	party_identity	68	valid_votes	86399	86399	0
1970	ballot_identity	69	number_voters	32523	32523	0
1970	party_identity	69	valid_votes	32222	32222	0
1970	ballot_identity	70	number_voters	86933	86933	0
1970	party_identity	70	valid_votes	86100	86100	0
1970	ballot_identity	71	number_voters	36068	36068	0
1970	party_identity	71	valid_votes	35714	35714	0
1970	ballot_identity	72	number_voters	134515	134515	0
1970	party_identity	72	valid_votes	132733	132733	0
1970	ballot_identity	73	number_voters	52509	52509	0
1970	party_identity	73	valid_votes	52059	52059	0
1970	ballot_identity	74	number_voters	87290	87290	0
1970	party_identity	74	valid_votes	86585	86585	0
1970	ballot_identity	75	number_voters	48121	48121	0
1970	party_identity	75	valid_votes	47652	47652	0
1970	ballot_identity	76	number_voters	112377	112377	0
1970	party_identity	76	valid_votes	111189	111189	0
1970	ballot_identity	77	number_voters	69329	69329	0
1970	party_identity	77	valid_votes	69130	69130	0
1970	ballot_identity	78	number_voters	24862	24862	0
1970	party_identity	78	valid_votes	24635	24635	0
1970	ballot_identity	79	number_voters	84395	84395	0
1970	party_identity	79	valid_votes	84179	84179	0
1970	ballot_identity	80	number_voters	950219	950219	0
1970	party_identity	80	valid_votes	941944	941944	0
1970	ballot_identity	81	number_voters	94109	94109	0
1970	party_identity	81	valid_votes	93347	93347	0
1970	ballot_identity	82	number_voters	856110	856110	0
1970	party_identity	82	valid_votes	848597	848597	0
1970	ballot_identity	83	number_voters	192926	192926	0
1970	party_identity	83	valid_votes	191985	191985	0
1970	ballot_identity	84	number_voters	46345	46345	0
1970	party_identity	84	valid_votes	46078	46078	0
1970	ballot_identity	85	number_voters	354754	354754	0
1970	party_identity	85	valid_votes	352789	352789	0
1970	ballot_identity	86	number_voters	105518	105518	0
1970	party_identity	86	valid_votes	104857	104857	0
1970	ballot_identity	87	number_voters	46732	46732	0
1970	party_identity	87	valid_votes	46413	46413	0
1970	ballot_identity	88	number_voters	56687	56687	0
1970	party_identity	88	valid_votes	56393	56393	0
1970	ballot_identity	89	number_voters	29735	29735	0
1970	party_identity	89	valid_votes	29532	29532	0
1970	ballot_identity	90	number_voters	40660	40660	0
1970	party_identity	90	valid_votes	40392	40392	0
1970	ballot_identity	91	number_voters	52857	52857	0
1970	party_identity	91	valid_votes	52559	52559	0
1970	ballot_identity	92	number_voters	43851	43851	0
1970	party_identity	92	valid_votes	43374	43374	0
1970	ballot_identity	93	number_voters	55298	55298	0
1970	party_identity	93	valid_votes	54982	54982	0
1970	ballot_identity	94	number_voters	77997	77997	0
1970	party_identity	94	valid_votes	77464	77464	0
1970	ballot_identity	95	number_voters	41729	41729	0
1970	party_identity	95	valid_votes	41232	41232	0
1970	ballot_identity	96	number_voters	144311	144311	0
1970	party_identity	96	valid_votes	143058	143058	0
1970	ballot_identity	97	number_voters	105117	105117	0
1970	party_identity	97	valid_votes	104292	104292	0
1970	ballot_identity	98	number_voters	54301	54301	0
1970	party_identity	98	valid_votes	53798	53798	0
1970	ballot_identity	99	number_voters	123563	123563	0
1970	party_identity	99	valid_votes	122666	122666	0
1970	ballot_identity	100	number_voters	37497	37497	0
1970	party_identity	100	valid_votes	37189	37189	0
1970	ballot_identity	101	number_voters	64499	64499	0
1970	party_identity	101	valid_votes	63986	63986	0
1970	ballot_identity	102	number_voters	115363	115363	0
1970	party_identity	102	valid_votes	114634	114634	0
1970	ballot_identity	103	number_voters	61192	61192	0
1970	party_identity	103	valid_votes	60683	60683	0
1970	ballot_identity	104	number_voters	126136	126136	0
1970	party_identity	104	valid_votes	125023	125023	0
1970	ballot_identity	105	number_voters	22149	22149	0
1970	party_identity	105	valid_votes	21967	21967	0
1970	ballot_identity	106	number_voters	1999217	1999217	0
1970	party_identity	106	valid_votes	1985346	1985346	0
1970	ballot_identity	107	number_voters	1025363	1025363	0
1970	party_identity	107	valid_votes	1019354	1019354	0
1970	ballot_identity	108	number_voters	973854	973854	0
1970	party_identity	108	valid_votes	965992	965992	0
1970	ballot_identity	109	number_voters	8739772	8739772	0
1970	party_identity	109	valid_votes	8677827	8677827	0
1970	ballot_identity	110	number_voters	4059505	4059505	0
1970	party_identity	110	valid_votes	4038701	4038701	0
1970	ballot_identity	111	number_voters	4680267	4680267	0
1970	party_identity	111	valid_votes	4639126	4639126	0
1970	source_subtotal	23	eligible_voters	3985500	3985500	0
1970	source_subtotal	23	number_voters	2819250	2819250	0
1970	source_subtotal	23	invalid_votes	16529	16529	0
1970	source_subtotal	23	valid_votes	2802721	2802721	0
1970	source_subtotal	23	cdu	1240141	1240141	0
1970	source_subtotal	23	spd	1333035	1333035	0
1970	source_subtotal	23	fdp	167296	167296	0
1970	source_subtotal	23	zentrum	2210	2210	0
1970	source_subtotal	23	uap	765	765	0
1970	source_subtotal	23	fsu	0	0	0
1970	source_subtotal	23	dkp	29681	29681	0
1970	source_subtotal	23	npd	29593	29593	0
1970	source_subtotal	24	eligible_voters	2669933	2669933	0
1970	source_subtotal	24	number_voters	1852624	1852624	0
1970	source_subtotal	24	invalid_votes	8662	8662	0
1970	source_subtotal	24	valid_votes	1843962	1843962	0
1970	source_subtotal	24	cdu	770810	770810	0
1970	source_subtotal	24	spd	916622	916622	0
1970	source_subtotal	24	fdp	113122	113122	0
1970	source_subtotal	24	zentrum	1083	1083	0
1970	source_subtotal	24	uap	573	573	0
